"participant";"acc";"sex";"age";"number_lessons";"math_edu";"lessons";"intro_page";"included";"exclusion_motive"
"part20";0;"M";NA;7;7;5432176;1;1;"none"
"part20";0;"M";NA;7;7;5432176;1;1;"none"
"part20_35";0;"F";24;5;2;43217;1;1;"none"
"part20_35";0;"F";24;5;2;43217;1;1;"none"
"part21";0;"F";21;1;4;4;1;1;"none"
"part21";0;"F";21;1;4;4;1;1;"none"
"part21_35";0;"F";25;3;2;543;1;1;"none"
"part21_35";1;"F";25;3;2;543;1;1;"none"
"part22";1;"F";23;7;7;4321765;1;1;"none"
"part22";1;"F";23;7;7;4321765;1;1;"none"
"part22_35";0;"F";43;5;5;65432;1;1;"none"
"part22_35";0;"F";43;5;5;65432;1;1;"none"
"part23";0;"M";26;1;4;5;1;0;"exp_error"
"part23";0;"M";26;1;4;5;1;0;"exp_error"
"part23_35";0;"F";NA;3;2;217;1;0;"Planar_geometry"
"part23_35";0;"F";NA;3;2;217;1;0;"Planar_geometry"
"part24";0;"M";19;7;3;3217654;1;0;"exp_error"
"part24";0;"M";19;7;3;3217654;1;0;"exp_error"
"part24_35";1;"F";23;5;3;17654;1;1;"none"
"part24_35";1;"F";23;5;3;17654;1;1;"none"
"part25";0;"M";26;1;4;6;1;1;"none"
"part25";0;"M";26;1;4;6;1;1;"none"
"part25_35";0;"F";21;3;4;654;1;0;"Planar_geometry"
"part25_35";1;"F";21;3;4;654;1;0;"Planar_geometry"
"part26";1;"M";NA;7;5;2176543;1;0;"exp_error"
"part26";1;"M";NA;7;5;2176543;1;0;"exp_error"
"part26_35";0;"M";27;5;2;32176;1;1;"none"
"part26_35";0;"M";27;5;2;32176;1;1;"none"
"part27";0;"M";26;1;6;7;1;1;"none"
"part27";0;"M";26;1;6;7;1;1;"none"
"part27_35";1;"F";30;3;5;321;1;1;"none"
"part27_35";1;"F";30;3;5;321;1;1;"none"
"part28";0;"F";NA;7;7;1765432;1;1;"none"
"part28";1;"F";NA;7;7;1765432;1;1;"none"
"part28_35";0;"F";34;5;2;54321;1;1;"none"
"part28_35";0;"F";34;5;2;54321;1;1;"none"
"part29";1;"F";32;1;4;1;1;1;"none"
"part29";0;"F";32;1;4;1;1;1;"none"
"part29_35";0;"F";21;5;2;45671;1;0;"Planar_geometry"
"part29_35";0;"F";21;5;2;45671;1;0;"Planar_geometry"
"part3";1;"F";NA;1;2;2;1;0;"exp_error"
"part3";1;"F";NA;1;2;2;1;0;"exp_error"
"part3_0";0;"M";25;0;6;0;0;1;"none"
"part3_0";0;"M";25;0;6;0;0;1;"none"
"part3_05";0;"F";22;0;5;0;1;1;"none"
"part3_05";0;"F";22;0;5;0;1;1;"none"
"part3_35";0;"F";22;3;2;456;1;1;"none"
"part3_35";1;"F";22;3;2;456;1;1;"none"
"part30";0;"M";27;7;4;1234567;1;1;"none"
"part30";1;"M";27;7;4;1234567;1;1;"none"
"part30_35";1;"F";23;5;2;45671;1;1;"none"
"part30_35";1;"F";23;5;2;45671;1;1;"none"
"part31";0;"F";NA;1;6;2;1;1;"none"
"part31";0;"F";NA;1;6;2;1;1;"none"
"part31_35";1;"F";24;3;4;217;1;1;"none"
"part31_35";1;"F";24;3;4;217;1;1;"none"
"part32_35";0;"F";21;3;4;654;1;1;"none"
"part32_35";0;"F";21;3;4;654;1;1;"none"
"part33";0;"F";20;1;3;6;1;1;"none"
"part33";0;"F";20;1;3;6;1;1;"none"
"part34";1;"F";NA;7;5;3217654;1;1;"none"
"part34";1;"F";NA;7;5;3217654;1;1;"none"
"part35";1;"M";31;1;2;3;1;0;"Straight_lines_on_spheres"
"part35";1;"M";31;1;2;3;1;0;"Straight_lines_on_spheres"
"part36";0;"F";21;7;5;2176543;1;1;"none"
"part36";0;"F";21;7;5;2176543;1;1;"none"
"part37";0;"F";18;1;3;5;1;1;"none"
"part37";0;"F";18;1;3;5;1;1;"none"
"part38";1;"F";NA;1;2;3;1;1;"none"
"part38";0;"F";NA;1;2;3;1;1;"none"
"part4";0;"F";NA;7;5;2345671;1;1;"none"
"part4";0;"F";NA;7;5;2345671;1;1;"none"
"part4_0";0;"M";NA;0;1;0;0;0;"exp_error"
"part4_0";1;"M";NA;0;1;0;0;0;"exp_error"
"part4_05";0;"M";25;0;0;0;1;0;"Straight_lines_on_spheres"
"part4_05";1;"M";25;0;0;0;1;0;"Straight_lines_on_spheres"
"part4_35";0;"F";22;5;6;67123;1;1;"none"
"part4_35";1;"F";22;5;6;67123;1;1;"none"
"part5";0;"M";NA;1;7;3;1;1;"none"
"part5";0;"M";NA;1;7;3;1;1;"none"
"part5_0";1;"F";23;0;2;0;0;0;"exp_error"
"part5_0";0;"F";23;0;2;0;0;0;"exp_error"
"part5_05";0;"M";48;0;2;0;1;1;"none"
"part5_05";0;"M";48;0;2;0;1;1;"none"
"part5_35";1;"F";23;3;5;712;1;1;"none"
"part5_35";0;"F";23;3;5;712;1;1;"none"
"part6";1;"M";NA;7;7;3456712;1;1;"none"
"part6";1;"M";NA;7;7;3456712;1;1;"none"
"part6_0";0;"F";27;0;2;0;0;0;"exp_error"
"part6_0";1;"F";27;0;2;0;0;0;"exp_error"
"part6_05";1;"F";24;0;6;0;1;1;"none"
"part6_05";1;"F";24;0;6;0;1;1;"none"
"part6_35";1;"M";23;5;5;45671;1;0;"both_inclusion_tests"
"part6_35";0;"M";23;5;5;45671;1;0;"both_inclusion_tests"
"part7";0;"M";23;1;7;4;1;1;"none"
"part7";0;"M";23;1;7;4;1;1;"none"
"part7_0";0;"F";NA;0;2;0;0;1;"none"
"part7_0";0;"F";NA;0;2;0;0;1;"none"
"part7_05";1;"F";30;0;4;0;1;1;"none"
"part7_05";1;"F";30;0;4;0;1;1;"none"
"part7_35";1;"F";26;3;6;345;1;1;"none"
"part7_35";1;"F";26;3;6;345;1;1;"none"
"part8";1;"M";23;7;7;4567123;1;1;"none"
"part8";1;"M";23;7;7;4567123;1;1;"none"
"part8_0";0;"F";27;0;5;0;0;1;"none"
"part8_0";0;"F";27;0;5;0;0;1;"none"
"part8_05";1;"F";24;0;5;0;1;1;"none"
"part8_05";1;"F";24;0;5;0;1;1;"none"
"part8_35";1;"M";29;5;7;23456;1;1;"none"
"part8_35";1;"M";29;5;7;23456;1;1;"none"
"part9";0;"F";41;1;2;5;1;1;"none"
"part9";0;"F";41;1;2;5;1;1;"none"
"part9_0";NA;"M";23;0;2;0;0;0;"incomplete"
"part9_0";NA;"M";23;0;2;0;0;0;"incomplete"
"part9_05";0;"F";21;0;2;0;1;1;"none"
"part9_05";0;"F";21;0;2;0;1;1;"none"
"part9_35";0;"M";23;3;4;671;1;1;"none"
"part9_35";0;"M";23;3;4;671;1;1;"none"
